Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,MN,55077,,,Suburban,"Above $500,000",No,International Comparative Studies,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,More likely,Wanting to belong in a social group,At Home,Safety concerns,Yes - to campus,,No,,,,Strongly favorable,Somewhat favorable,Somewhat unfavorable,0,Yes,0,Somewhat disagree,Classes,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.93,ACT,,34,Public (non-charter),Yes,1,1,Yes,No,Yes,No,Catholic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Obtained a fake ID",Yes,No,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,VA,22101,,,Suburban,"$125,000-$250,000",No,Political Science,Student life / campus culture,Moderately interested,Slightly interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,No opinion,Somewhat unfavorable,3,Yes,2,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,Prefer not to say,3.8,"SAT,ACT",1560,34,Public (non-charter),No,5,3,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,Yes,White,Cis Woman,Bisexual,No,No,No,FL,33174,,,Suburban,"$80,000-$125,000",Yes,History,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Much less likely,Wanting to belong in a social group,At Home,Other,Unsure,,No,,,,Strongly favorable,Strongly favorable,Don’t know,0,Yes,0,Somewhat disagree,Classes,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,No,No,No,3.96,SAT,1540,,Public (charter),No,15,12,No,No,No,No,Protestant,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,SC,29412,,,Suburban,"$40,000-$80,000",Yes,Neuroscience,Student life / campus culture,Slightly interested,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat unfavorable,Somewhat unfavorable,1,No,,Somewhat agree,Other,A great deal,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Very unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1460,34,Public (charter),No,4,4,Yes,No,Yes,No,Other,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Trinity,No,Asian,Cis Man,Heterosexual,Yes,No,No,CA,92833,,,Suburban,"$40,000-$80,000",Yes,Biology,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,No opinion,Strongly favorable,2,Yes,2,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,ACT,,36,Public (non-charter),No,15,8,No,No,No,No,Protestant,Religious,Moderate,Yes,Joe Biden,Durham,No,,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,Yes,No,No,FL,33071,,,Suburban,"$40,000-$80,000",Yes,Economics,Financial aid award / scholarship,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat unfavorable,Somewhat favorable,3,Yes,2,Somewhat agree,Dorm,A great deal,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,Yes — furloughed,No,3.8,SAT,1580,,Public (non-charter),No,5,3,Yes,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Print
Trinity,No,White,Cis Man,Gay/Homosexual/Lesbian,No,No,No,NY,10549,,,Suburban,"$250,000-$500,000",No,Political Science,Student life / campus culture,Slightly interested,Very interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Somewhat favorable,3,Yes,1,Somewhat agree,Dorm,A moderate amount,Very likely,Neither likely or unlikely,Very unlikely,Very unlikely,Very likely,Neither likely or unlikely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,22,12,No,No,No,No,Jewish,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,No,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,Yes,,,Oxford,United Kingdom,Rural,"$125,000-$250,000",No,Neuroscience,Student life / campus culture,Slightly interested,Very interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,2,Yes,2,Somewhat disagree,Other,A great deal,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,Prefer not to say,No,0,SAT,1370,,Other,No,1,1,Yes,No,Yes,No,Other,Not very religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,No,"Black or African American,Asian",Cis Woman,Bisexual,Yes,No,No,FL,32707,,,Suburban,"Below $40,000",Yes,Psychology,Student life / campus culture,Moderately interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,2,Somewhat agree,Classes,A moderate amount,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,4,"SAT,ACT",1520,33,Public (non-charter),No,11,3,Yes,No,Yes,No,Other,Religious,Very liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Had sex",Yes,No,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,AZ,85396,,,Suburban,"$80,000-$125,000",Yes,Biology,Pre-professional opportunities and alumni network,Slightly interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Going back home,Yes,Somewhat favorable,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,2,Somewhat disagree,Dorm,A great deal,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately likely,No,No,No,3.99,ACT,,35,Public (non-charter),No,4,3,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs",Yes,Yes,Online
Trinity,No,White,Cis Man,Bisexual,No,No,No,VA,20176,,,Suburban,"Below $40,000",Yes,Biology,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,Yes,Strongly favorable,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Classes,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.92,"SAT,ACT",1570,35,Public (charter),Yes,8,2,Yes,No,Yes,No,Jewish,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,Drank alcohol,Prefer not to say,,Online
Trinity,No,"White,Black or African American",Cis Woman,Heterosexual,Yes,No,No,Pennsylvania,15905,,,Suburban,"$40,000-$80,000",Yes,Biology,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1320,30,Public (non-charter),No,23,23,No,No,Yes,No,Other,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,SC,29681,,,Suburban,"$125,000-$250,000",Yes,Music,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Much less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat unfavorable,Somewhat favorable,3,Yes,1,Strongly agree,Classes,A moderate amount,Very likely,Moderately Likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Very unlikely,Very unlikely,Moderately likely,Yes,No,No,3.92,"SAT,ACT",1470,34,Private (parochial),No,7,4,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,,No,,Print
Trinity,No,"White,Asian",Cis Woman,Heterosexual,No,No,No,NC,28804,,,Suburban,"$125,000-$250,000",No,International Comparative Studies,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,0,Yes,0,Neither agree nor disagree,Dorm,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,4,ACT,,34,Private (non-denominational),No,8,4,Yes,No,Yes,Yes,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",Yes,Yes,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NC,27707,,,Suburban,"$40,000-$80,000",Yes,Neuroscience,Financial aid award / scholarship,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,SAT,1490,,Public (charter),No,9,5,No,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Durham),Yes,Drank alcohol,Yes,No,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,CA,94566,,,Suburban,"$250,000-$500,000",No,Economics,Student life / campus culture,Not interested at all,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,No opinion,Somewhat favorable,Somewhat unfavorable,2,Yes,1,Somewhat agree,Other,A lot,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),Yes,4,1,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,Drank alcohol,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,PA,19422,,,Suburban,"$80,000-$125,000",Yes,Neuroscience,Student life / campus culture,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,1,Yes,0,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,3.98,SAT,1580,,Public (non-charter),No,14,7,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NJ,07059,,,Suburban,,No,Chemistry,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Much less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Other,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,,No,No,,SAT,,,Public (non-charter),No,12,7,Yes,No,Yes,No,Protestant,Somewhat religious,Somewhat liberal,Yes,,Durham,No,,,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,AZ,,,,Suburban,,No,Environmental Sciences and Policy,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,3.96,SAT,1560,,Private (non-denominational),No,15,10,No,No,Yes,Yes,Catholic,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print and Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,CA,92620,,,Suburban,"$125,000-$250,000",No,Statistical Science,Academics and interdisciplinary curriculum,Slightly interested,Slightly interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,Yes,1,Somewhat agree,Other,A lot,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,SAT,1550,,Public (non-charter),No,26,12,No,No,No,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Durham),Ineligible to vote,Drank alcohol,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NC,28036,,,Suburban,"$250,000-$500,000",Yes,Statistical Science,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,Yes — furloughed,No,4,SAT,1590,,Public (charter),No,18,14,No,No,No,No,Atheist,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,Prefer not to say,,Online
Trinity,No,Asian,Cis Woman,Questioning,No,No,No,NJ,08536,,,Suburban,"$250,000-$500,000",No,Statistical Science,Student life / campus culture,Slightly interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Strongly unfavorable,Somewhat unfavorable,Somewhat unfavorable,2,Yes,1,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1580,,Private (non-denominational),No,12,5,No,No,No,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs",Yes,No,Online
Trinity,No,"White,American Indian or Alaska Native",Cis Woman,Heterosexual,No,No,No,NJ,07733,,,Suburban,"$125,000-$250,000",No,Neuroscience,Student life / campus culture,Very interested,Not interested at all,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1540,35,Private (parochial),No,15,5,Yes,No,Yes,No,Catholic,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Had sex",Yes,No,Neither
Trinity,No,White,Cis Man,Heterosexual,No,No,No,TN,38104,,,Suburban,"$250,000-$500,000",Yes,Undecided,Student life / campus culture,Moderately interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat unfavorable,1,Yes,1,Somewhat disagree,Orientation Week,A lot,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Very unlikely,Yes,No,No,3.8,SAT,1580,,Private (non-denominational),No,1,1,Yes,No,Yes,Yes,Protestant,Not very religious,Very liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,SC,29229,,,Suburban,"$125,000-$250,000",Yes,Mechanical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Classes,A moderate amount,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Yes,No,No,4,"SAT,ACT",1570,35,Public (non-charter),No,9,5,No,No,No,No,Hindu,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,No,,Online
Pratt,Yes,White,Cis Man,Heterosexual,No,No,No,FL,33027,,,Suburban,,Yes,,Financial aid award / scholarship,Moderately interested,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,2,No,,Strongly agree,Other,A little,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1530,,Private (parochial),No,9,9,No,No,Yes,Yes,Catholic,Religious,Moderate,Yes,,Home (Not Durham),Ineligible to vote,,No,,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,TX,75052,,,Suburban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,No opinion,Strongly favorable,Strongly favorable,1,No,,Neither agree nor disagree,Classes,None at all,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1440,35,Private (non-denominational),No,6,3,No,No,Yes,No,Other,Not very religious,Moderate,No,,,No,,No,,Neither
Pratt,No,Asian,Cis Man,Heterosexual,No,No,No,TX,75022,,,Suburban,"$80,000-$125,000",Yes,Mechanical Engineering,Student life / campus culture,Moderately interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,3,No,,Somewhat disagree,Clubs/Extracurriculars,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,3.97,SAT,1530,,Public (non-charter),No,3,3,Yes,No,Yes,Yes,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,No,,Online
Pratt,No,White,Cis Man,Heterosexual,No,No,No,CA,92109,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,"Duke’s ""brand name""",Not interested at all,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Strongly agree,Other,A little,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately Likely,Very likely,Moderately unlikely,Very unlikely,Neither likely nor unlikely,Yes,Yes — furloughed,No,4,ACT,,35,Public (charter),Yes,16,9,No,No,No,No,Jewish,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Had sex",Yes,Yes,Neither
